movie_id,movie_title,movie_genre,movie_runtime,movie_year,date_release,cast_director,rating_personal,rating_IMDb,num_votes
tt3040964,The Jungle Book, fantasy,106,2016,2016-04-04,Jon Favreau,6,7.6,141095
tt0918940,The Legend of Tarzan, romance,110,2016,2016-06-27,David Yates,4,6.4,65533
tt2277860,Finding Dory, family,97,2016,2016-06-08, Angus MacLane,7,7.7,69243
tt0144084,American Psycho, drama,102,2000,2000-01-21,Mary Harron,6,7.6,361970
tt2267968,Kung Fu Panda 3, fantasy,95,2016,2016-01-16, Jennifer Yuh,6,7.2,71044
tt1386697,Suicide Squad, sci_fi,123,2016,2016-08-01,David Ayer,5,6.7,218847
tt3385516,X-Men: Apocalypse, sci_fi,144,2016,2016-05-09,Bryan Singer,7,7.2,188822
tt0803096,Warcraft, fantasy,123,2016,2016-05-24,Duncan Jones,6,7.2,140047
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedy,95,1964,1964-01-29,Stanley Kubrick,6,8.5,346512
tt3498820,Captain America: Civil War, sci_fi,147,2016,2016-04-12, Joe Russo,8,8.0,322564
tt2381991,The Huntsman: Winter's War, fantasy,114,2016,2016-03-29,Cedric Nicolas-Troyan,5,6.1,48348
tt0119488,L.A. Confidential, thriller,138,1997,1997-05-14,Curtis Hanson,6,8.3,418784
tt2948356,Zootopia, mystery,108,2016,2016-02-11, Rich Moore,8,8.1,200855
tt1663202,The Revenant, western,156,2015,2015-12-16,Alejandro G. Iñárritu,7,8.1,428269
tt2975590,Batman v Superman: Dawn of Justice, sci_fi,151,2016,2016-03-12,Zack Snyder,5,6.8,403257
tt1431045,Deadpool, sci_fi,108,2016,2016-01-21,Tim Miller,8,8.1,513719
tt3460252,The Hateful Eight, western,187,2015,2015-12-07,Quentin Tarantino,8,7.9,286973
tt0475290,"Hail, Caesar!", mystery,106,2016,2016-02-01, Joel Coen,5,6.4,67482
tt1596363,The Big Short, history,130,2015,2015-11-12,Adam McKay,7,7.8,197717
tt2446980,Joy, drama,124,2015,2015-12-13,David O. Russell,5,6.6,79732
tt2488496,Star Wars: The Force Awakens, sci_fi,138,2015,2015-12-14,J.J. Abrams,9,8.2,584518
tt3659388,The Martian, sci_fi,144,2015,2015-09-11,Ridley Scott,7,8.0,494484
tt2267998,Gone Girl, thriller,149,2014,2014-09-26,David Fincher,6,8.1,581819
tt2379713,Spectre, thriller,148,2015,2015-10-26,Sam Mendes,6,6.8,283061
tt2096673,Inside Out, fantasy,95,2015,2015-05-18, Ronnie Del Carmen,9,8.3,359529
tt0078748,Alien, sci_fi,117,1979,1979-05-25,Ridley Scott,7,8.5,571033
tt0121766,Star Wars: Episode III - Revenge of the Sith, sci_fi,140,2005,2005-05-15,George Lucas,8,7.6,525731
tt1587310,Maleficent, romance,97,2014,2014-05-28,Robert Stromberg,4,7.0,255583
tt0208092,Snatch, crime,104,2000,2000-08-23,Guy Ritchie,7,8.3,607887
tt0066921,A Clockwork Orange, sci_fi,136,1971,1971-12-19,Stanley Kubrick,6,8.3,565536
tt0078788,Apocalypse Now, war,153,1979,1979-05-19,Francis Coppola,7,8.5,455518
tt1979388,The Good Dinosaur, fantasy,93,2015,2015-11-10,Peter Sohn,8,6.8,66819
tt0086879,Amadeus, music,160,1984,1984-09-06,Milos Forman,6,8.3,274067
tt2452042,The Peanuts Movie, family,88,2015,2015-10-19,Steve Martino,5,7.1,29504
tt0478970,Ant-Man, sci_fi,117,2015,2015-06-29,Peyton Reed,7,7.4,325366
tt2381249,Mission: Impossible - Rogue Nation, thriller,131,2015,2015-07-23,Christopher McQuarrie,7,7.4,238272
tt0129167,The Iron Giant, sci_fi,86,1999,1999-07-31,Brad Bird,8,8.0,130089
tt2637276,Ted 2,comedy,115,2015,2015-06-25,Seth MacFarlane,6,6.4,121648
tt0369610,Jurassic World, thriller,124,2015,2015-05-29,Colin Trevorrow,6,7.0,425387
tt0089218,The Goonies, family,114,1985,1985-06-07,Richard Donner,9,7.8,180341
tt0162222,Cast Away, romance,143,2000,2000-12-07,Robert Zemeckis,5,7.7,398811
tt1245526,RED, thriller,111,2010,2010-09-29,Robert Schwentke,6,7.1,240850
tt1321870,Gangster Squad, thriller,113,2013,2013-01-07,Ruben Fleischer,4,6.7,174836
tt0844471,Cloudy with a Chance of Meatballs, sci_fi,90,2009,2009-09-16, Chris Miller,5,7.0,154454
tt0087088,Così parlò Bellavista,comedy,105,1984,1984-10-06,Luciano De Crescenzo,8,7.3,360
tt1392190,Mad Max: Fury Road, thriller,120,2015,2015-05-07,George Miller,7,8.1,568979
tt2692904,Locke,drama,85,2013,2013-09-02,Steven Knight,4,7.1,92783
tt2802144,Kingsman: The Secret Service, thriller,129,2014,2014-12-13,Matthew Vaughn,7,7.8,405567
tt2395427,Avengers: Age of Ultron, sci_fi,141,2015,2015-04-13,Joss Whedon,7,7.5,473574
tt3907734,La scuola più bella del mondo,comedy,NA,2014,2014-11-13,Luca Miniero,2,5.0,256
tt0102510,The Naked Gun 2½: The Smell of Fear, crime,85,1991,1991-06-28,David Zucker,6,6.8,83992
tt2820852,Furious 7, thriller,137,2015,2015-03-16,James Wan,6,7.2,282249
